videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt,parentId,commentId
yiffzzl7EFY,"Kalo apotek deket rumah, apotek viva itu juga tidak menjual obat sirup untuk anak dan obat sirup lainnya selama masa pelarangan itu dok. Alhamdulillah, patuh peraturan apoteknya.","Kalo apotek deket rumah, apotek viva itu juga tidak menjual obat sirup untuk anak dan obat sirup lainnya selama masa pelarangan itu dok. Alhamdulillah, patuh peraturan apoteknya.",indah fitriana,https://yt3.ggpht.com/ytc/AL5GRJXA_U-fy47FYch_-OlvBKtGA5fks6tf0uV4dLA2pg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UChydu-_lxbGtCOc8MiT8euA,{'value': 'UChydu-_lxbGtCOc8MiT8euA'},True,none,0,2023-01-22T16:04:00Z,2023-01-22T16:04:00Z,,Ugzy8tl8AghE8dpVylN4AaABAg
yiffzzl7EFY,saya suka dr Richard lee penerangan nya the best 👍👍👍,saya suka dr Richard lee penerangan nya the best 👍👍👍,Shaka,https://yt3.ggpht.com/5z-6Z-TTkyxBeIcht1CuJ28XdM0Vs56xK-1xsHH7d7RUFpKA60AlZuMQJM5ArJeZ8EON48F_lg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCakiJGvHNDbqxQGwvSe1a6A,{'value': 'UCakiJGvHNDbqxQGwvSe1a6A'},True,none,0,2023-01-17T01:36:28Z,2023-01-17T01:36:28Z,,UgzDW_3dJlINh5jGDUF4AaABAg
yiffzzl7EFY,"Tempat kami masih djual dok,,orang apotik diam sj tnp ad intruksi apapun,,bgi mereka obat sirup mereka terjual..ini kek mn dok.???","Tempat kami masih djual dok,,orang apotik diam sj tnp ad intruksi apapun,,bgi mereka obat sirup mereka terjual..ini kek mn dok.???",Nur fietri14,https://yt3.ggpht.com/ytc/AL5GRJXIuKzHGKZe7YXCtNB6rkNI1xoWfZDyMewJYA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCKpkktkJlkH-d-VdYtBP_oQ,{'value': 'UCKpkktkJlkH-d-VdYtBP_oQ'},True,none,0,2022-12-25T01:08:39Z,2022-12-25T01:08:39Z,,UgyvZl_gPj4kDEWx23h4AaABAg
yiffzzl7EFY,Aneh nggak sih... Padahal obat sirup udah lama bingit loh di konsumsi... Tapi ketika pada kasus ginjal bersamaan.... Kok obat sirup yg di salahkan yach? Kan obat sirup udah lama banget dan kali ini baru kasus. Aneh nggak sih? 🤷🏿‍♂️🤷🏿‍♂️🤷🏿‍♂️,Aneh nggak sih... Padahal obat sirup udah lama bingit loh di konsumsi... Tapi ketika pada kasus ginjal bersamaan.... Kok obat sirup yg di salahkan yach? Kan obat sirup udah lama banget dan kali ini baru kasus. Aneh nggak sih? 🤷🏿‍♂️🤷🏿‍♂️🤷🏿‍♂️,Mawar Kusam,https://yt3.ggpht.com/QPMNuU_9Wua5wvHdlRsA9xcFjnuhX8i7JnDwGqpXLvCH_um2LPbRrupGHZflHWef9O6ygkFJ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCRE_gwhbn2GKd-vqjesPoFg,{'value': 'UCRE_gwhbn2GKd-vqjesPoFg'},True,none,0,2022-12-19T17:21:51Z,2022-12-19T17:21:51Z,,UgxScs80rV-fahH_aD94AaABAg
yiffzzl7EFY,Dok sirup mucos aman ga si buat pereda batuk anak saya umur 2 taun,Dok sirup mucos aman ga si buat pereda batuk anak saya umur 2 taun,Hilwa Abia shanum,https://yt3.ggpht.com/ytc/AL5GRJWglr56YzFEd5OI_7muHDg6BhjxXeA3Zag7laD8zWXCIfTkYSxYkAODxW-Siu_h=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC0DysoxEFC9vZHH_anxFRrA,{'value': 'UC0DysoxEFC9vZHH_anxFRrA'},True,none,0,2022-12-19T03:25:00Z,2022-12-19T03:25:00Z,,UgwKffqbdM7Am4wwmJ54AaABAg
yiffzzl7EFY,"Mau tanya dok, obat batuk dgn merek siladex aman tdk ?","Mau tanya dok, obat batuk dgn merek siladex aman tdk ?",Benn jr,https://yt3.ggpht.com/ytc/AL5GRJXzyj_iQRvDezjL204KvXlrY0Kfza0BHyqTSntO7AmW61KZ7SD9CHYyvslh2zjC=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCEIgFWWcJ_dVuRmrh5XhoHQ,{'value': 'UCEIgFWWcJ_dVuRmrh5XhoHQ'},True,none,0,2022-12-13T23:01:36Z,2022-12-13T23:01:36Z,,UgyQVvKHi33L35WHMRF4AaABAg
yiffzzl7EFY,"Gini kmrn 4hari lalu anak saya sakit perut trz saya bawa ke RS di sana saya dapat resep obat domperidon(periksa tulisan), puyer, sama lactobi nah setelah demperidon habis saya beli ke apotek terdekat dan disana pegawainya bilang &quot;masih belum boleh pak&quot;<br>Gua bingung knp di apotek gk boleh tapi kmrn di RS dapet itu<br>Gimana tanggapannya dok?","Gini kmrn 4hari lalu anak saya sakit perut trz saya bawa ke RS di sana saya dapat resep obat domperidon(periksa tulisan), puyer, sama lactobi nah setelah demperidon habis saya beli ke apotek terdekat dan disana pegawainya bilang ""masih belum boleh pak""
Gua bingung knp di apotek gk boleh tapi kmrn di RS dapet itu
Gimana tanggapannya dok?",TiarAquatic87,https://yt3.ggpht.com/ytc/AL5GRJXFPZ2XcfSZU4_2ooLasFYxS9ZwppfoulORCTfupdKkcbXrXsqb6AW8PiMv011o=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuZlD8sVne0CJ6efK2g3h6Q,{'value': 'UCuZlD8sVne0CJ6efK2g3h6Q'},True,none,0,2022-11-23T08:22:17Z,2022-11-23T08:22:17Z,,UgzJJRRN3coHNTHWn2J4AaABAg
yiffzzl7EFY,Ternyata walau status nya dokter yg sudah sangat terkenal Dr Richard masih mau di ajak foto bahkan bukan sekali dua kali foto nya tapi Dr Richard pun masih ngajak Selfi. Salud buat dr Richard 👍👍👍,Ternyata walau status nya dokter yg sudah sangat terkenal Dr Richard masih mau di ajak foto bahkan bukan sekali dua kali foto nya tapi Dr Richard pun masih ngajak Selfi. Salud buat dr Richard 👍👍👍,MARVEL ABAS,https://yt3.ggpht.com/ytc/AL5GRJWp0GDOciWAIdbzEg4nIYedu9yzd1VgyzLg3gGZrQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCF_eesOfkze9pqFlq2psaxQ,{'value': 'UCF_eesOfkze9pqFlq2psaxQ'},True,none,0,2022-11-22T05:22:30Z,2022-11-22T05:22:30Z,,Ugz3M0k3vooXFLeo_5Z4AaABAg
yiffzzl7EFY,Ujung&quot; nya itu yg GK enak di denger mesti ke dokter mani mani itu lah,"Ujung"" nya itu yg GK enak di denger mesti ke dokter mani mani itu lah",Ranti Agus,https://yt3.ggpht.com/ytc/AL5GRJVSO34feOg6unKpuC2xCNITHVQRv2JkWZTJnsg2WIBhHj7A2sR1X2_RaIugByJs=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCOzD_xeY9hrxXI6X4we_qZw,{'value': 'UCOzD_xeY9hrxXI6X4we_qZw'},True,none,0,2022-11-17T06:11:57Z,2022-11-17T06:11:57Z,,UgxyM0W7tXnAEfo-esF4AaABAg
yiffzzl7EFY,Dok anak sy konsumsi serebrovort vitamin itu aman g y,Dok anak sy konsumsi serebrovort vitamin itu aman g y,anggita leo,https://yt3.ggpht.com/_5BciLQAdFix-MHx0DYZ3JjDrXo-ff9oRqQiI-luahWtnrUWgCURNSsI8xDP9QDjaiGhVU-aYPo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuz3ImIQK_BvPgxZdhFvQnA,{'value': 'UCuz3ImIQK_BvPgxZdhFvQnA'},True,none,0,2022-11-17T02:31:08Z,2022-11-17T02:31:08Z,,UgzBVlaukBzd22IWMPN4AaABAg
