video_id,comment_text,text_cleaned,text_removal,text_normalized,text_manual_replaced,text_tokenize
video1,Baiknya bagaimana menurut kalian?,baiknya bagaimana menurut kalian,baik bagaimana turut kalian,baik bagaimana turut kalian,baik bagaimana turut kalian,"['baik', 'bagaimana', 'turut', 'kalian']"
video1,Betul dok betul  dok,betul dok betul dok,betul dok betul dok,betul dok betul dok,betul dok betul dok,"['betul', 'dok', 'betul', 'dok']"
video1,Betul dok mungkin efek sa di,betul dok mungkin efek sa di,betul dok mungkin efek sa,betul dok mungkin efek sa,betul dok mungkin efek sa,"['betul', 'dok', 'mungkin', 'efek', 'sa']"
video1,"Bpom aneh, tidak kerja. Kenapa ko seperti itu.",bpom aneh tidak kerja kenapa ko seperti itu,bpom aneh kerja ko itu,bpom aneh kerja kok itu,bpom aneh kerja kok itu,"['bpom', 'aneh', 'kerja', 'kok', 'itu']"
video1,Benar banget anak sy aj hrs sirup minum obatnya dr pd tablet,benar banget anak sy aj hrs sirup minum obatnya dr pd tablet,benar banget anak sy aj hrs sirup minum obat dr pd tablet,benar banget anak saya saja harus sirup minum obat dari pada tablet,benar banget anak aku saja harus sirup minum obat dari pada tablet,"['benar', 'banget', 'anak', 'aku', 'saja', 'harus', 'sirup', 'minum', 'obat', 'dari', 'pada', 'tablet']"
video1,Makasih ilmunya dokter semoga berkah🥰🥰🥰🥰,makasih ilmunya dokter semoga berkah,makasih ilmu dokter moga berkah,terima kasih ilmu dokter moga berkah,terima kasih ilmu dokter semoga berkah,"['terima', 'kasih', 'ilmu', 'dokter', 'semoga', 'berkah']"
video1,Dok tempra gimana? Soalnya anakku kalau demam di kasih tempra,dok tempra gimana soalnya anakku kalau demam di kasih tempra,dok tempra gimana soal anak kalau demam kasih tempra,dok tempra bagaimana soal anak kalau demam kasih tempra,dok tempra bagaimana soal anak kalau demam kasih tempra,"['dok', 'tempra', 'bagaimana', 'soal', 'anak', 'kalau', 'demam', 'kasih', 'tempra']"
video1,BIOSOLFON KIDS AMAN GAK KAK,biosolfon kids aman gak kak,biosolfon kids aman gak kak,biosolfon kids aman enggak kak,biosolfon kids aman enggak kak,"['biosolfon', 'kids', 'aman', 'enggak', 'kak']"
video1,apa kurang ilmu ya dok,apa kurang ilmu ya dok,apa kurang ilmu dok,apa kurang ilmu dok,apa kurang ilmu dok,"['apa', 'kurang', 'ilmu', 'dok']"
video1,"Cara media massa cari uang.... Memainkan keresahan, kebingungan, kekacauan....
Sengajakah, atau kah tehnik kalimat bersayap?",cara media massa cari uang memainkan keresahan kebingungan kekacauan sengajakah atau kah tehnik kalimat bersayap,cara media massa cari uang main resah bingung kacau sengaja kah tehnik kalimat sayap,cara media massa cari uang main resah bingung kacau sengaja kah tehnik kalimat sayap,cara media massa cari uang main resah bingung kacau sengaja kah tehnik kalimat sayap,"['cara', 'media', 'massa', 'cari', 'uang', 'main', 'resah', 'bingung', 'kacau', 'sengaja', 'kah', 'tehnik', 'kalimat', 'sayap']"
video1,"Lihat sumber beritanya dari media massa, K. Manajemennya bagus ya, pintar mendulang uang dari keresahan....
Atau, apakah etika jurnalistik sudah kehilangan nilai kemanusiaan, merelakan keresahan demi mengejar kepopuleran jurnalistik?
Hati2 lah, manusia tidak lepas dr pengadilan Allah atas fitnah dan hasut....entah dipotong lidahnya, diseterika dadanya",lihat sumber beritanya dari media massa k manajemennya bagus ya pintar mendulang uang dari keresahan atau apakah etika jurnalistik sudah kehilangan nilai kemanusiaan merelakan keresahan demi mengejar kepopuleran jurnalistik hati lah manusia tidak lepas dr pengadilan allah atas fitnah dan hasut entah dipotong lidahnya diseterika dadanya,lihat sumber berita media massa k manajemen bagus pintar dulang uang resah apakah etika jurnalistik hilang nilai manusia rela resah kejar populer jurnalistik hati lah manusia lepas dr adil allah atas fitnah hasut entah potong lidah terika dada,lihat sumber berita media massa ke manajemen bagus pintar dulang uang resah apakah etika jurnalistik hilang nilai manusia rela resah kejar populer jurnalistik hati lah manusia lepas dari adil allah atas fitnah hasut entah potong lidah terika dada,lihat sumber berita media massa ke manajemen bagus pintar dulang uang resah apakah etika jurnalistik hilang nilai manusia rela resah kejar populer jurnalistik hati lah manusia lepas dari adil allah atas fitnah hasut entah potong lidah terika dada,"['lihat', 'sumber', 'berita', 'media', 'massa', 'ke', 'manajemen', 'bagus', 'pintar', 'dulang', 'uang', 'resah', 'apakah', 'etika', 'jurnalistik', 'hilang', 'nilai', 'manusia', 'rela', 'resah', 'kejar', 'populer', 'jurnalistik', 'hati', 'lah', 'manusia', 'lepas', 'dari', 'adil', 'allah', 'atas', 'fitnah', 'hasut', 'entah', 'potong', 'lidah', 'terika', 'dada']"
video1,nama nya juga indo..selalu heboh dan selalu di besar2kan..,nama nya juga indo selalu heboh dan selalu di besarkan,nama nya indo selalu heboh selalu besar,nama nya indonesia selalu heboh selalu besar,nama nya indonesia selalu heboh selalu besar,"['nama', 'nya', 'indonesia', 'selalu', 'heboh', 'selalu', 'besar']"
