video_id,raw,text
video1,Baiknya bagaimana menurut kalian?,baik bagaimana turut kalian
video1,Betul dok betul  dok,betul dok betul dok
video1,Betul dok mungkin efek sa di,betul dok mungkin efek sa
video1,"Bpom aneh, tidak kerja. Kenapa ko seperti itu.",bpom aneh kerja kok itu
video1,Benar banget anak sy aj hrs sirup minum obatnya dr pd tablet,benar banget anak aku saja harus sirup minum obat dari pada tablet
video1,Makasih ilmunya dokter semoga berkah🥰🥰🥰🥰,terima kasih ilmu dokter semoga berkah
video1,Dok tempra gimana? Soalnya anakku kalau demam di kasih tempra,dok tempra bagaimana soal anak kalau demam kasih tempra
video1,BIOSOLFON KIDS AMAN GAK KAK,biosolfon kids aman enggak kak
video1,apa kurang ilmu ya dok,apa kurang ilmu dok
video1,"Cara media massa cari uang.... Memainkan keresahan, kebingungan, kekacauan....
Sengajakah, atau kah tehnik kalimat bersayap?",cara media massa cari uang main resah bingung kacau sengaja kah tehnik kalimat sayap
video1,"Lihat sumber beritanya dari media massa, K. Manajemennya bagus ya, pintar mendulang uang dari keresahan....
Atau, apakah etika jurnalistik sudah kehilangan nilai kemanusiaan, merelakan keresahan demi mengejar kepopuleran jurnalistik?
Hati2 lah, manusia tidak lepas dr pengadilan Allah atas fitnah dan hasut....entah dipotong lidahnya, diseterika dadanya",lihat sumber berita media massa ke manajemen bagus pintar dulang uang resah apakah etika jurnalistik hilang nilai manusia rela resah kejar populer jurnalistik hati lah manusia lepas dari adil allah atas fitnah hasut entah potong lidah terika dada
video1,nama nya juga indo..selalu heboh dan selalu di besar2kan..,nama nya indonesia selalu heboh selalu besar
video1,"Salam sehat dok, saya ingin sedikit komentar ttg obat, di awal thn 2000 say pernah keluhan penyakit ginjL, solusi saya setelah dapet impormasi sYa pernah mengkonsumsi obT sirop batugi, ternyata hasilnya bagus selama tiga hati batu ginjalnya keluar, di awal thn 2022 sY terkena batu gi jal lagi , kemudian saya nyRi sirop batugin katanya ter yTa sudah g produksi lGi,
Apa benR itu ga produksi lGi",salam sehat dok ingin sedikit komentar tentang obat awal tahun sayang pernah keluh sakit ginjl solusi telah dapat impormasi aku pernah konsumsi obt sirop batugi nyata hasil bagus lama tiga hati batu ginjal keluar awal tahun aku kena batu lagi jal kemudian nyri sirop batugin kata ter yta enggak produksi lagi apa benr enggak produksi lagi
video1,Kalau gue sih ngunyah kencur sudah cukup meredakan batuk.,kalau aku sih ngunyah kencur cukup reda batuk
video1,Itramol aman gak dokter.. Anak saya dikasih itramol,itramol aman enggak dokter anak kasih itramol
video1,Haii Dokter!! Mau tanya apakah Vitamin Curcumaplus sudah bisa dikomsumsi utk anak2?,hai dokter mau tanya vitamin curcumaplus bisa dikomsumsi untuk anak
video1,Saya itu pengalaman yah dulu setiap konsumsi obat dari dokter istilahnya obat kimia semakin hari semakin parah. Tapi setelah meracik obat herbal tradisional semakin lama semakin sembuh. Bahkan pernah di konsumsi oleh pasien kusta selama 6 bulan sembuh,itu alam iya dulu tiap konsumsi obat dokter istilah obat kimia makin hari makin parah telah racik obat herbal tradisional makin lama makin sembuh bahkan pernah konsumsi pasien kusta lama bulan sembuh
video1,dicek dulu obatnya baru amplopnya oke ?ngerti kan,cek dulu obat baru amplop oke mengerti kan
video1,Dok mau nanya sanmol drop aman di minum?,dok mau bertanya sanmol drop aman minum
video1,"ijin bertanya pak dok
Syrup PIM TRA KOL obat batuk aman untuk anak2 ga dok",ijin tanya pak dok syrup pim tra kol obat batuk aman anak enggak dok
video1,lagi batuk keras mana sirop susah di cari gk ngerti udh ma pemerintahan... ingin masyarakat sehat namun di persulit,batuk keras mana sirop susah cari enggak mengerti sudah sama perintah masyarakat sehat di sulit
video1,dok bukan paracetamol aja.. vitamin memperbaiki nafsu makan juga di stop. di tempat ku apotek nya ga mau jualin vitamin yg bntukan sirup 🥲 semoga apotek nya tetap laris manis,dok bukan paracetamol saja vitamin baik nafsu makan henti di tempat ku apotek nya enggak mau jualin vitamin yang bntukan sirup semoga apotek nya tetap laris manis
video1,"Anak syah ajh masih minum obat sirup tapi ga pph  ini lagi masih musim pilek batuk .
Kalo kata orang tua dulu mah .panca roba. 
Perubahan  cuwaca",anak syah saja minum obat sirup enggak pph lagi musim pilek batuk kalau kata orang tua dulu mah panca roba ubah cuwaca
video1,Dok Nutrimax C&C Aman kah?,dok nutrimax sih sih aman
video1,Dr Richard kalo bener ada obat menggunakan etlinglikol saya pernah kerja di pabrik benang untuk bahan kain Itu di gunakan untuk melarutkan TPA teret talit acid sesudah di larutkan menjadi bahan benang yang di panaskan menjadi bahan plastik menjadi benang untuk bikin kain yaitu jadi benang folister gitu Dr,dari richard kalau benar obat etlinglikol pernah kerja pabrik benang bahan kain di larut tpa teret talit acid di larut jadi bahan benang di panas jadi bahan plastik jadi benang untuk bikin kain jadi benang folister begitu dari
video1,Uni bebi cocok bgt pdhl murah jg,uni bebi cocok banget padahal murah juga
video1,BPOM apa kerjanya???,bpom apa kerja
video1,Maaff dok.. Obat syirup PASABA  cough and flu... Itu bahaya gk dok. ?? Mohon di jawab dok..,maaff dok obat syirup pasaba cough and flu bahaya enggak dok mohon jawab dok
video1,Kenapa gak dari dulu pak..kok baru skarang sih dikasih taunya,enggak dulu pak kok baru sekarang sih kasih tahu
video1,Lucunya negeriku. Belajar dri kasus dokter jga aneh dok.. bisa aja pengalihan isu sih sebenernya. Tetap semangat bikin rakyat makin cerdas dok. 👍,lucu negeri ajar dari kasus dokter juga aneh dok saja alih isu sih sebenarnya tetap semangat bikin rakyat makin cerdas dok
video1,Untuk bayi 5 bln boleh gak minum Praxion Suspensi dok ...,bayi bulan enggak minum praxion suspensi dok
video1,Mksh dokter penjelasan nya jdi mengerti skrng,terima kasih dokter jelas nya jadi erti sekarang
video1,"Itulah Indonesia, india yang buat,Afrika yang kejadian,indonesia yang heboh.
Apa"" itu harus tenang tapi teliti gk usah heboh"" dulu.
Karena pengguna medsos tu gk sedikit orang jadi berita hoax mudah menyebar cari yang benar dulu, ya ibarat nonton chanel dokter richard",indonesia india buat afrika jadi indonesia heboh apa harus tenang teliti enggak perlu heboh dulu guna medsos itu enggak sedikit orang jadi berita isu bohong mudah sebar cari benar dulu ibarat menonton chanel dokter richard
video1,"waduh ada obat2 yang ga sesuai aturan jadi ketauan, apakah mereka lebih advance daripada bpom?",waduh obat enggak sesuai atur jadi tahu mereka lebih advance bpom
video1,Brarti yg salh itu spa dok..,berarti yang salh siapa dok
video1,walaupun saya dengar penjelasan doktor. syukurlah kata2 doktor itu ingatkn Tuhan.,walaupun dengar jelas doktor syukur kata doktor ingatkn tuhan
video1,Terima kasih dok,terima kasih dok
video1,Menit 9:00 makasih dok sarannya 🙏,menit terima kasih dok saran
video1,"Karena BPOM gak jelas kerjanya apa, BPOM abal².

Cuman terbitkan nomor BPOM aja 

Tidak ada di test, di teliti, asal lewat !!!

Yg penting uang masuk",bpom enggak jelas kerja apa bpom abal Cuma terbit nomor bpom saja ada test teliti asal lewat yang penting uang masuk
video1,"@dr.Richard lee,MARS dok tlg dong riview vitamin yg lagi viral di tiktok..coolvita ntuk penggemuk badan,aman ga dok ?",dari richard lee mars dok tolong dong riview vitamin yang viral tiktok coolvita ntuk gemuk badan aman enggak dok
video1,Dok klo sanmol paracetamol aman kah,dok kalo sanmol paracetamol aman
video1,OBH combi aman ga... ini saya mau minum jadi takut,obh combi aman enggak aku mau minum jadi takut
video1,Kalau sanmol sirup untuk bayi usia 0-12tahun masih amankah pak dokter,kalau sanmol sirup bayi usia tahun aman pak dokter
video1,"warung soto aja bisa berubah rasa ...dari tahun ke tahun, karena ada perubahan bahan baku..pabrik obat juga gitu, makanya BPOM pemeriksaan sample itu rutin bukan pas awal ngajuin ijin..setelah itu lossss",warung soto saja ubah rasa tahun tahun ada ubah bahan baku pabrik obat begitu makanya bpom periksa sample rutin bukan pas awal mengajukan ijin itu lossss
video1,Parahh bangett BPOM ckckck tugas lu ngpain aja dikantor,parah banget bpom ckckck tugas kamu ngpain saja kantor
video1,"mencerahkan,.,.semoga anda sehat selalu dok,.,.aminnn",cerah semoga sehat selalu dok amin
video1,"Dok, tolong cek kandungan handbody dermastell 🙌🙌🙌🙌",dok cek kandung handbody dermastell
video1,Ini lah klo rezim ny planga plongo dan di atur oligarki kay gini kenapa indonesia yang repot ini kan akal akalan rezim,lah kalo rezim nya planga plongo di atur oligarki kay gini indonesia repot kan akal akal rezim
video1,Dkter hbt ini mah suka klo pnya dkter cerdas kek gini..,dkter hbt mah suka kalo punya dkter cerdas kayak gini
video1,"itulah akibatnya jika mentri kesehatan dan Ketua BPOM  dipegang bukan ahlinya ..kelihatan bingungnya dan tidak berani mengambil tindakan . Ketua BPOM lulusan teknik lingkungan..kok bisa jadi ketua BPOM ? harusnya BPOM  dari Teknik Kimia , Apoteker atau Teknologi Pangan ...Trus menkesnya dari Fisika nuklir Kok bisa jadi mentri kesehatan . menkes harusnya Profesor  dari fakultas kedokteran atau kesehatan masyarakat ...kelihatan kerjanya plonga plongo dan tidak bisa mengambil tindakan cepat . ..panteslah amburadul",akibat tri sehat ketua bpom pegang bukan ahli lihat bingung tidak berani ambil tindak ketua bpom lulus teknik lingkung kok jadi ketua bpom bpom teknik kimia apoteker teknologi pangan terus menkesnya fisika nuklir kok jadi tri sehat menkes profesor fakultas dokter sehat masyarakat lihat kerja plonga plongo tidak ambil tindak cepat panteslah amburadul
video1,"Maaf semuanya mau nanya, Saya udah cari info2 kemana2 tapi gak nemu obat batuk panas Pim-Tra-Kol amankah?

Untuk ibu2/bapak2 yg menjawab terimakasih.",maaf semua mau bertanya sudah cari informasi mana enggak nemu obat batuk panas pim tra kol aman ibu bapak yang jawab terimakasih
video1,Trimakasih dok penjelasan nya salam sihat duk dari kalimantan selatan....,trimakasih dok jelas nya salam sehat duk kalimantan selatan
video1,Penurun panas yg aman buat anak2 apa dok... Buat jaga2 di rmh kalau demam tengah mlm,turun panas yang aman buat anak apa dok buat jaga rumah kalau demam tengah malam
