text_manual_replaced,label
obat yang larang kan sudah edar tahun banyak anak anak indonesia kalau panas batuk minum obat sebut baru sekarang ramai semua obat makan yang keluar edar ada ijin bpom edar juga ecek kadar apa saja yang kandung makan obat sebut kalau kadar nya enggak rugi masyarakat baru edar kalau bpom balik sudah makan banyak korban baru cek tarik pasar kan makan obat obat yang periksa parah sama badan yang satu sehat tubuh rakyat indonesia makan obat obat yang mutu lewat bpom yang beri amanah sehat rakyat indonesia makan obat obat yang halal kualitas salam waras,-1
negara kumuh bersih hari sangat jauh sehat jorok kok sirup yang jadi kambing hitam,-1
ada yang rencana tiba tiba ada yang jual obat luar dalam,0
gelar badut milik kominfo sekarang pindah menkes gyg menteri apa iya,0
iya bikin kacau lagi,-1
kesalahn bepom kenapa enggak tliti dulu sebelum edar kan,1
keliling nya palembang iya dokter bhsa nya cak bahasa palembang,0
baru muncul covid kabar nya karena demand obat demam sirup tingkat sejak pandemi akibat zat larut sirup propylene glycol pagi jadi langka mahal profit margin kurang oleh produsen nakal ganti zat larut sebut deg jenis nya kabar nya itu masuk akal sih buat mungkin awal produksi sudah lulus bpom laku review kala jadi kalau ganti bahan baku tidak tahu lolos jual bebas pasar,-1
mantap dokter ganteng selalu edukasi baik dengan video lanjut dokter,1
dokter mohon jawab kalo obat panas tempra obat batuk komix edisi nya enggak,0
salah satu emak emak yang sekarang gelisah karena anak selalu pakai ambroxol kalo batuk sanmol demam kadang tremenza pilek semua upa sirup tapi semua selalu resep dokter benar stres,-1
makan di musnah mala obat obat padahal makan picu sakit bukan obat,-1
benar banget anak aku saja harus sirup minum obat dari pada tablet,0
konten bela pabrik obat batuk syrup,0
dok mau bertanya kalau imboost kids aman enggak soal nya anak di saran minum imbost karena rentan sakit,0
orang ibu umur tahu punya anak anak lahir cucu nah arti obat yang makan anak dulu tempra sirup sekarg anak sehat sudah punya turun arti turut enggak logika kalau tempra bisa bikin gagal ginjal zaman now jadi pikir bodoh bagai ibu biasa yakin ini ada efek nya vaksin covid jadi mohon coba teliti yang baik dulu biar ibu nenek panik anak demam sakit yang paling sering derita balita itu demam flu batuk mencret muntah terus beri obat apa kalau semua di larang yang tentu jelas nya mohon solusi trimakasih,-1
obat yang sebut hampir semua nya anak aku pernah minum bahkan minggu kemarin sakit dari dokter spesialis yang resep sebagai dokter juga ikut doa semoga semua anak indonesia sehat terus amin,1
dulu kemenkes cuma terima uang saja kalau awas sih kalau viral saja,-1
wkwkwk negara wakanda,0
kalau perintah amburadul dukung rakyat jadi amburadul pabrik siap siap tutup anggur raja lela,-1
trimakasih dokter informasi nya sampai bingung memikirkan nya kalau sampai anak demam kan takut semoga dokter selalu sehat selalu dalam lindung kuasa amin,1
terima kasih dok jelas,0
bahrain henti khusus bawah usia tahun boleh konsumsi obat batuk flu syrup,0
jawababnya balita anak boleh sakit,0
halo dari richad mau tanya tempat praktek nya garut bila mana alamat nya terimakasih,0
dok onat sirup atas aman tolong jawab dok,0
cara jadi mitra kopi gagal total kaca bagaimana dok yang ada yang jelasin,0
perintah cuma perintah jual obat batuk sirup mana mau rugi lah yang jual habis stok dulu kalau perintah mau ganti rugi,-1
banget batch dok,0
trimakasih dari richard jasa belum nya sangat panik obat yang rumah sudah lanjur aku buang enggak papa keslamatan,1
bukan abang val gaming iya,0
coba yang surveynya jangan dokter soal pasti dikenalin pasti banyak,1
salut sama apotek imo negara lain enggak heboh yakin sama hasil teliti mereka pas mengeluarkan ijin edar di wakanda ban semua sirup cari aman butuh waktu buat neliti pas mengeluarkan ijin enggak teliti,1
dok share hasil lab obat tersebut kayak kosmetik dong,0
nama antisipasi bos memang kenapa kalau heboh kan bagus supaya orang lebih waspada hadap obattn,1
kok kira cenderng virus,-1
yang penting sirop marjan jangan henti,0
ah masa sih tahun enggak apa mungkin salah makan seperti makan cik skrgkan banyak makan kandung awet,1
betul dokter minum kemas lebih bahaya,-1
makan minum kemas kali,0
bagus dok,1
enggak minum obat jenis sirup apa jaga aman lebih baik pakai jenis tablet yang gerus obat puyer,0
kalau salah satu pasien yang mayoritas anak kasih tablet mungkin iya varian tablet juga bakal masuk,0
bisnis bisnis bisnis terus kemarin mana saja semua obat yang larang sudah dulu kenapa baru sekarang gagal ginjal mau memasuki apa ke indonesia mau dimatiin kah masyarakat,-1
awas balik mungkin mafia mmjatuhkan obat sirup,0
mantap dok,1
review cream maxie lagi viral dok,0
apakabar minum soda lebih bnyakan gula daripda soda,-1
semua obat yang dbaca dokter hampir semua sudah pernah minum dari kecil smpek anak tapi kenapa baru sekarang heboh iya,-1
numpang tanya dong teman yang tahu enggak obat ginjal yang paling bagus aku sakit luka ginjal mohon saran teman,0
dokter apa ayo jawab saja dokter skinker,0
parah anak minumx sanmol antibiotik juga jangan obat palsu yang minum anak jadi ginjal,-1
gara obat sirup tahun enggak jual anak aku steep a kmt lagi padahal dah lama enggak kmt a anak aku cocok obat sirup proris turun pns,-1
nama konoha bang,0
kerja bpom apa,0
astaghfirullah anak minum obat demam tempra sama sanmol hampir semua anak pernah minum obat demam astaghfirullah semoga anak ku anak sehat hampir semua obat bahaya bagaimana sih sudah edar luas loh semua anak pernah konsumsi obat obat,-1
iya tuhaaann negara tubi dari masalah hilang nyawa manusia begitu pula hewan tuhan tahun lama tuhan,-1
alih isu ala negeri wakanda,0
terus yang tanggungjawab siapa,0
saat beberapa lembaga awas obat cari unsur pidana siapa kambing hitam langsung rujuk lembaga beri ijin edar beberapa dokter merekom pasien aneh turut dari gagal ginjal sebut akut pasti rentan waktu itu sebentar butuh beberapa bulan paling tidak rentan itu apakah tiap hari suspek konsumsi obat tersebut tahu rawat almarhum bapak terlalu banyak faktor yang sebab kasus gagal ginjal sampai jadi akut jangan kaget bapak legislator yang hormat apabila statement panjenengan balik serang kredibilitas karena jangan yang ahli dalam bidang yang masyarakat biasa sudah tangkap banyak janggal atas statement,1
syrup yang maksud tidak mau bayar umpet uang masuk makanya banned tidak pelak seperti mui majelis uang indonesia mana ada umpet ada segel halal,0
mungkin orang tua zaman dulu lebih mantap hal makan minum obat alami yang tahu langsung asal cara olah meski kuno sederhana usia orang dulu puluh tahun bahkan ratus ada kalau sekarang usia tahun sudah banyak sekali keluh sakit makan minum tidak tahu mana apa bagaimana buat,1
lucnya negeri bukan karena obat tapi karena vaksin sinovac,0
wajar india sudah tahan banting sama produk sendiri,-1
allah mana anak kalau demam panas kasih paracetamol termorex,0
terima kasih dok infox sangat bantu,1
banget maksud kode produksi obat pak dokter,0
wkwkwk penuh ruang konsultasi kalo semua yang pernah makan obat prgi cek sedang kan semua obat yang maksud paling tidak salah nya hampir semua masyarakat pernah coba betul kata dokter rhichard bpom bagaimana itu,0
kota juga sampai apotek kecil enggak jual dok alhamdulillah,1
cerdaaaasssss euy,1
dok meminta rekomendasi vitamin anak yang non sirup,0
bagaimana jajan minum ribu hampir konsumsi anak anak tiap hari,0
desa konoha riweuh,0
vitamin scoodemulson enggak minum,0
yang jadi masalah buat rakyat kecil yang bingung biasa kalau anak sakit demam batuk pilek pergi puskesmas enggak punya cukup uang ke dokter sial anak,-1
covid ginjal akut allah yang tahu ujung iya jual obat,0
kemenkes bukti apa isi vaksin viral kemarin,0
masyarakat minum berapa banyak slkg baru banyak bicara memang dari dulu enggak pelisak bpom iya,0
bpom apa kerja awas makan obat kenapa lolos kepala bpom periksa polisi lalai kerja,-1
mantap bang,1
bpom beli konoha,0
