video_id,comment_text,text_cleaned,text_removal,text_normalized,text_manual_replaced,text_tokenize,label
video1,"Thank u atas penjelasannya dok🙏🏻
Review produk kecantikan kali dong dok, sekarang makin banyak produk viral ditiktok belum BPOM, penasaran sama sabun sama skincarenya🙏🏻",thank u atas penjelasannya dok review produk kecantikan kali dong dok sekarang makin banyak produk viral ditiktok belum bpom penasaran sama sabun sama skincarenya,thank u atas jelas dok review produk cantik kali dong dok sekarang makin banyak produk viral ditiktok bpom penasaran sama sabun sama skincarenya,thank lu atas jelas dok review produk cantik kali dong dok sekarang makin banyak produk viral ditiktok bpom penasaran sama sabun sama skincarenya,thank lu atas jelas dok review produk cantik kali dong dok sekarang makin banyak produk viral ditiktok bpom penasaran sama sabun sama skincarenya,"['thank', 'lu', 'atas', 'jelas', 'dok', 'review', 'produk', 'cantik', 'kali', 'dong', 'dok', 'sekarang', 'makin', 'banyak', 'produk', 'viral', 'ditiktok', 'bpom', 'penasaran', 'sama', 'sabun', 'sama', 'skincarenya']",1
video2,Jadi solusi nya obat apa dok untuk anak demam dok?,jadi solusi nya obat apa dok untuk anak demam dok,jadi solusi nya obat apa dok anak demam dok,jadi solusi nya obat apa dok anak demam dok,jadi solusi nya obat apa dok anak demam dok,"['jadi', 'solusi', 'nya', 'obat', 'apa', 'dok', 'anak', 'demam', 'dok']",0
video1,"Anak saya juga lagi kurang sehat dokter, lagi batuk pilek, udah ke dokter, eh obatnya pahit ,anak jadi sulit minum obatnya, biasanya minum sirup kini maknya yg parno takut kasih sirup 😢",anak saya juga lagi kurang sehat dokter lagi batuk pilek udah ke dokter eh obatnya pahit anak jadi sulit minum obatnya biasanya minum sirup kini maknya yg parno takut kasih sirup,anak juga kurang sehat dokter batuk pilek udah dokter eh obat pahit anak jadi sulit minum obat biasa minum sirup kini maknya yg parno takut kasih sirup,anak juga kurang sehat dokter batuk pilek sudah dokter eh obat pahit anak jadi sulit minum obat biasa minum sirup kini maknya yang takut takut kasih sirup,anak juga kurang sehat dokter batuk pilek sudah dokter eh obat pahit anak jadi sulit minum obat biasa minum sirup kini maknya yang takut takut kasih sirup,"['anak', 'juga', 'kurang', 'sehat', 'dokter', 'batuk', 'pilek', 'sudah', 'dokter', 'eh', 'obat', 'pahit', 'anak', 'jadi', 'sulit', 'minum', 'obat', 'biasa', 'minum', 'sirup', 'kini', 'maknya', 'yang', 'takut', 'takut', 'kasih', 'sirup']",-1
video1,"sbnrnya dkter richard ini dkter apa sih??? 
heran deh, aku suka banget sama reviewnya. sll jlas bnget",sbnrnya dkter richard ini dkter apa sih heran deh aku suka banget sama reviewnya sll jlas bnget,sbnrnya dkter richard dkter apa sih heran deh aku suka banget sama reviewnya sll jlas bnget,sbnrnya dkter richard dkter apa sih heran deh aku suka banget sama reviewnya selalu jlas banget,sbnrnya dkter richard dkter apa sih heran deh aku suka banget sama reviewnya selalu jlas banget,"['sbnrnya', 'dkter', 'richard', 'dkter', 'apa', 'sih', 'heran', 'deh', 'aku', 'suka', 'banget', 'sama', 'reviewnya', 'selalu', 'jlas', 'banget']",1
video1,"Semoga masyarakat makin tau dan teredukasi dengan baik, dokter Richard udah memberikan review atas produk-produk berbahaya jadi jangan nekat Makai ya apalagi nuduh dokter Richard Lee aneh aneh. Karna dokter ini keren bagi saya",semoga masyarakat makin tau dan teredukasi dengan baik dokter richard udah memberikan review atas produk produk berbahaya jadi jangan nekat makai ya apalagi nuduh dokter richard lee aneh aneh karna dokter ini keren bagi saya,moga masyarakat makin tau edukasi baik dokter richard udah beri review atas produk produk bahaya jadi jangan nekat ya nuduh dokter richard lee aneh aneh karna dokter keren saya,moga masyarakat makin tahu edukasi baik dokter richard sudah beri review atas produk produk bahaya jadi jangan nekat iya menuduh dokter richard lee aneh aneh karena dokter keren saya,semoga masyarakat makin tahu edukasi baik dokter richard sudah beri review atas produk produk bahaya jadi jangan nekat iya menuduh dokter richard lee aneh aneh karena dokter keren aku,"['semoga', 'masyarakat', 'makin', 'tahu', 'edukasi', 'baik', 'dokter', 'richard', 'sudah', 'beri', 'review', 'atas', 'produk', 'produk', 'bahaya', 'jadi', 'jangan', 'nekat', 'iya', 'menuduh', 'dokter', 'richard', 'lee', 'aneh', 'aneh', 'karena', 'dokter', 'keren', 'aku']",1
video2,itu obat2 kan udh lama kan ya. kita2 jg waktu kecil minum tu obat gpp tu. knp baru sekarang dan lgs banyak. apa efek sampingan dari vaksinkah? mereka ga divaksin tapi apakah ibunya yg di vaksin jd residunya ke asi ? stlh org2 tua yg di terjang abis vaksin apa skrg anak2 ? ngeri juga,itu obat kan udh lama kan ya kita jg waktu kecil minum tu obat gpp tu knp baru sekarang dan lgs banyak apa efek sampingan dari vaksinkah mereka ga divaksin tapi apakah ibunya yg di vaksin jd residunya ke asi stlh org tua yg di terjang abis vaksin apa skrg anak ngeri juga,obat kan udh lama kan kita jg waktu kecil minum tu obat gpp tu knp baru sekarang lgs banyak apa efek samping vaksin ga vaksin apakah ibu yg vaksin jd residu asi stlh org tua yg terjang abis vaksin apa skrg anak ngeri,obat kan sudah lama kan kita juga waktu kecil minum itu obat enggak apa-apa itu kenapa baru sekarang langsung banyak apa efek samping vaksin enggak vaksin apakah ibu yang vaksin jadi residu asi setelah orang tua yang terjang habis vaksin apa sekarang anak seram,obat kan sudah lama kan kita juga waktu kecil minum itu obat enggak apa-apa itu kenapa baru sekarang langsung banyak apa efek samping vaksin enggak vaksin apakah ibu yang vaksin jadi residu asi setelah orang tua yang terjang habis vaksin apa sekarang anak seram,"['obat', 'kan', 'sudah', 'lama', 'kan', 'kita', 'juga', 'waktu', 'kecil', 'minum', 'itu', 'obat', 'enggak', 'apa-apa', 'itu', 'kenapa', 'baru', 'sekarang', 'langsung', 'banyak', 'apa', 'efek', 'samping', 'vaksin', 'enggak', 'vaksin', 'apakah', 'ibu', 'yang', 'vaksin', 'jadi', 'residu', 'asi', 'setelah', 'orang', 'tua', 'yang', 'terjang', 'habis', 'vaksin', 'apa', 'sekarang', 'anak', 'seram']",-1
video1,"Inilah INDONESIA👏👏👏👏

Mudah TERHASUT, tanpa PENELITIAN lebih lanjut, tanpa SOLUSI tepat, dan selalu menyelesaikan MASALAH dengan MASALAH. 
Lalu gunanya BPOM apa🤔",inilah indonesia mudah terhasut tanpa penelitian lebih lanjut tanpa solusi tepat dan selalu menyelesaikan masalah dengan masalah lalu gunanya bpom apa,indonesia mudah hasut teliti lebih lanjut solusi tepat selalu selesai masalah masalah lalu bpom apa,indonesia mudah hasut teliti lebih lanjut solusi tepat selalu selesai masalah masalah lalu bpom apa,indonesia mudah hasut teliti lebih lanjut solusi tepat selalu selesai masalah masalah lalu bpom apa,"['indonesia', 'mudah', 'hasut', 'teliti', 'lebih', 'lanjut', 'solusi', 'tepat', 'selalu', 'selesai', 'masalah', 'masalah', 'lalu', 'bpom', 'apa']",-1
video1,"Dok Ricard Lee tahu ngga bahwa obat itu beredar ke Indonesia,, jangan hanya baca berita saja,,tapi melakukan investigasi juga,, jangan cuman nerocos saja,,lebih baik ikut investigasi bos,,Kemenkes juga lebih hati"", biar ngga merebak ke mana"",, karena banyak lagi faktor yg lainnya,, makanan dan minuman yg notabene sekarang  banyak makanan instan,,",dok ricard lee tahu ngga bahwa obat itu beredar ke indonesia jangan hanya baca berita saja tapi melakukan investigasi juga jangan cuman nerocos saja lebih baik ikut investigasi bos kemenkes juga lebih hati biar ngga merebak ke mana karena banyak lagi faktor yg lainnya makanan dan minuman yg notabene sekarang banyak makanan instan,dok ricard lee tahu ngga obat edar indonesia jangan baca berita tapi laku investigasi jangan cuman nerocos lebih baik ikut investigasi bos kemenkes lebih hati biar ngga rebak mana banyak faktor yg makan minum yg notabene sekarang banyak makan instan,dok ricard lee tahu enggak obat edar indonesia jangan baca berita tapi laku investigasi jangan Cuma nerocos lebih baik ikut investigasi bos kemenkes lebih hati biar enggak rebak mana banyak faktor yang makan minum yang notabene sekarang banyak makan instan,dok ricard lee tahu enggak obat edar indonesia jangan baca berita tapi laku investigasi jangan Cuma nerocos lebih baik ikut investigasi bos kemenkes lebih hati biar enggak rebak mana banyak faktor yang makan minum yang notabene sekarang banyak makan instan,"['dok', 'ricard', 'lee', 'tahu', 'enggak', 'obat', 'edar', 'indonesia', 'jangan', 'baca', 'berita', 'tapi', 'laku', 'investigasi', 'jangan', 'Cuma', 'nerocos', 'lebih', 'baik', 'ikut', 'investigasi', 'bos', 'kemenkes', 'lebih', 'hati', 'biar', 'enggak', 'rebak', 'mana', 'banyak', 'faktor', 'yang', 'makan', 'minum', 'yang', 'notabene', 'sekarang', 'banyak', 'makan', 'instan']",-1
video1,"Dokter saya mau nanya saya minum obat pilek pake paracetamol lama ya  
Tapi minum obat lain cepet",dokter saya mau nanya saya minum obat pilek pake paracetamol lama ya tapi minum obat lain cepet,dokter mau nanya minum obat pilek pake paracetamol lama tapi minum obat cepet,dokter mau bertanya minum obat pilek pakai paracetamol lama tapi minum obat cepat,dokter mau bertanya minum obat pilek pakai paracetamol lama tapi minum obat cepat,"['dokter', 'mau', 'bertanya', 'minum', 'obat', 'pilek', 'pakai', 'paracetamol', 'lama', 'tapi', 'minum', 'obat', 'cepat']",0
video1,"Itu namanya antisipasi bos, memangnya   knp klu heboh, kan bagus spy orang lebih waspada terhadap obat2tn.",itu namanya antisipasi bos memangnya knp klu heboh kan bagus spy orang lebih waspada terhadap obattn,nama antisipasi bos memang knp klu heboh kan bagus spy orang lebih waspada hadap obattn,nama antisipasi bos memang kenapa kalau heboh kan bagus supaya orang lebih waspada hadap obattn,nama antisipasi bos memang kenapa kalau heboh kan bagus supaya orang lebih waspada hadap obattn,"['nama', 'antisipasi', 'bos', 'memang', 'kenapa', 'kalau', 'heboh', 'kan', 'bagus', 'supaya', 'orang', 'lebih', 'waspada', 'hadap', 'obattn']",1
